bottom_10,0
second_10,1
top_22,2
second_19,3
bottom_7,4
top_44,5
top_7,6
top_5,7
top_45,8
bottom_24,9
bottom_15,10
top_19,11
bottom_17,12
bottom_5,13
second_16,14
bottom_4,15
top_15,16
bottom_8,17
top_26,18
top_23,19
bottom_16,20
top_37,21
top_1,22
top_8,23
second_18,24
top_39,25
top_28,26
second_13,27
top_40,28
bottom_27,29
second_31,30
second_21,31
bottom_11,32
top_6,33
second_22,34
top_24,35
top_34,36
second_30,37
bottom_25,38
top_17,39
second_6,40
bottom_21,41
second_11,42
top_14,43
second_28,44
bottom_14,45
bottom_0,46
bottom_19,47
top_32,48
bottom_23,49
bottom_6,50
top_38,51
bottom_1,52
top_2,53
second_9,54
bottom_26,55
bottom_32,56
bottom_12,57
top_4,58
second_23,59
second_4,60
second_3,61
top_16,62
second_17,63
second_2,64
top_27,65
second_33,66
second_27,67
second_5,68
bottom_31,69
bottom_3,70
top_20,71
top_29,72
top_3,73
second_12,74
bottom_28,75
second_1,76
second_26,77
bottom_9,78
top_11,79
top_12,80
top_13,81
bottom_22,82
top_18,83
second_14,84
bottom_20,85
second_24,86
second_7,87
top_0,88
second_29,89
bottom_13,90
top_30,91
bottom_30,92
top_10,93
bottom_18,94
top_33,95
top_31,96
bottom_2,97
top_25,98
bottom_29,99
top_41,100
top_21,101
second_20,102
top_36,103
top_43,104
top_35,105
second_32,106
top_42,107
top_9,108
second_0,109
