0,bottom_32
0,bottom_16
0,bottom_19
0,bottom_5
0,bottom_6
0,bottom_7
0,bottom_1
0,bottom_2
0,bottom_3
0,bottom_26
1,second_23
1,bottom_17
1,second_13
1,bottom_11
1,second_19
1,second_18
1,bottom_18
1,bottom_4
1,second_1
1,second_3
1,second_2
1,second_5
1,second_4
1,second_6
1,bottom_25
1,bottom_24
1,second_20
1,second_21
1,second_22
1,second_24
1,second_26
2,bottom_14
2,bottom_15
2,bottom_12
2,second_14
2,second_16
2,bottom_13
3,top_11
3,top_13
3,top_12
3,top_15
3,top_14
3,top_19
3,second_17
3,bottom_0
3,top_28
3,bottom_27
3,top_26
3,top_20
3,top_1
3,top_16
4,second_10
4,bottom_8
4,bottom_9
4,second_0
4,bottom_23
4,bottom_22
4,bottom_21
4,bottom_20
4,second_32
4,bottom_10
4,second_27
5,bottom_30
5,bottom_29
5,bottom_28
6,bottom_31
6,second_12
6,top_9
6,top_0
6,second_33
7,top_8
7,top_5
7,top_4
7,top_7
7,top_6
8,top_10
8,top_17
8,top_18
8,top_3
8,top_2
9,second_31
9,second_30
10,second_7
10,second_9
10,second_28
10,second_29
10,second_11
11,top_29
11,top_24
11,top_25
11,top_27
11,top_21
11,top_22
11,top_30
11,top_23
12,top_39
12,top_37
12,top_35
12,top_42
13,top_38
13,top_36
13,top_44
13,top_45
13,top_43
13,top_40
13,top_41
14,top_33
14,top_34
15,top_32
15,top_31
